drive_file_id	total_chars	total_parts	project	type	year	filename
18t9nSLRVUJOFHs1J8EVtxqpYDrvskdNjWx1sjkbEKmE	32231	10	агро-технік	Статусна	2026	Протокол статусної зустрічі 22.04.2026.docx
15AH68SKByAsVS_sQbpYfWndcmxbR88a_AWZmAMy5c0U	32125	15	трител	Збір вимог	0	Протокол обстеження – Склад. Покроково процеси роботи та вимоги - Трител.docx
19XNJsAQ6kFeUqUestfY6QVv5SjaRgjA7nWELGYqrnzQ	30575	10	агро-технік	Статусна	2026	Протокол статусної зустрічі 01.04.2026.docx
1DJDJAfGhCLBKyXki1ddbsDf5jbWEoI_EaRKMPwehVXw	29065	10	агро-технік	Збір вимог	0	Протокол обстеження Загальній структурі компанії та Закупкам.docx
1yb5x3D2TzS8xfXKKVUflXWo0vmeHZo1VMvi_Fu3mTP4	28739	10	агро-технік	Збір вимог	0	Протокол обстеження Продажі.docx
1WT-9QKt-OOqMWj8-bpnO6u22p6WIhnX7ZdIC9kjfklw	28342	10	агро-технік	Збір вимог	0	Протокол обстеження Склади.docx
1zA1VnTrTHmhRfKUkfBqwooRcrEaTbUJSP4EwV2n6mf8	27689	10	хайтек-енергія	Фінанси	2026	Протокол проведення інтерв'ю на тему "Фінансовий облік. Продовження" від 19-05-2026.docx
1YhPizwEZTPkOyfytglN_KIzu_hxqwEUsp-ufQo9b3gA	27599	9	агро-технік	Загальна	0	Протокол зустрічі Веб-сайт, обговорення потреб.docx
1Hbouhu0zAR3lLiJHDT6FLin2gaW42_3Nl-d5OYKf4Ak	27421	12	трител	Збір вимог	0	Протокол обстеження – Продажі (Відділ Впровадження). Прокрокові процеси роботи та вимоги. CRM. Виявлення вимог до системи - Трител.docx
1KNOsA9bUbLos-nIlRO0cehGFtFroG_MVJJwVngPmrAU	26879	9	агро-технік	Загальна	0	Протокол зустрічі по роботі зі Специфікаціями.docx
1Yvz9f9JOlHukWI8I7MuApiuBVpayksjR	26857	9	youcontrol	Фінанси	2026	26-05-2026 Протокол обстеження Аналіз особливостей управлінського обліку.docx
1lc5oksG6FH5vAD-c4kYkXb0b3Zq24I386rYlfj4wrCI	25939	10	хайтек-енергія	Збір вимог	2026	Протокол проведення інтерв'ю на тему "Склад.Логістика.Закупівлі" від 12-05-2026.docx
14m5yzPId8NjwJKd8uESLluFhM5UuibK5eAHsp29w4BM	25599	7	yodezeen	Збір вимог	0	Копія "Протокол обстеження біздев ".docx
1Z-XntXoGSHpYJF0zktB7fXCswjzT0ogde1Dv6-m3RVM	25599	7	yodezeen	Збір вимог	0	Протокол обстеження біздев .docx
14XWzMd2i-zWDexdzMa-yd5PAj_s54dADApBpW1TT7ps	25523	17	трител	Збір вимог	0	Протокол обстеження – Внесення в 1С специфікації. Виробництво. Прокроково процеси роботи та вимоги - Трител.docx
16LBrs_nrIm5AiAxbMz5jdIXub1gJePURBQOC7IyeYAY	25090	11	wiy-drones	Збір вимог	2026	Протокол обстеження Бухгалтерія 06-05-26.docx
1kIbXugpx7Y7u6rOXJFh_287wHRPvB_gQTavbmh4CFiI	24831	9	агро-технік	Статусна	2026	Протокол статусної зустрічі 25.05.2026.docx
1L3abJV5_1kr0bfxswfhqKl-bW2WLIvmpY2AaEUXUM94	24401	9	енергобезпека-груп	Загальна	0	Протокол зустрічі 19.02.docx
12OKBgIHKaNV9Weas1cc1Oipd6_CYAwOaLs7rWhu93U8	23462	10	трител	Збір вимог	0	Протокол обстеження  - Відділ розробки. Покрокові процеси роботи та вимоги – Трител.docx
1yHk46topL9cbxFMLauDdx7cvmiPKGp8ucGmMwkFspt0	23187	8	wiy-drones	Збір вимог	2026	Протокол обстеження 14.05.2026.docx
1wqRTQ42fekEVAtQXPL3ACbDNvNtD6a6urZFNK6HNiys	22534	9	wiy-drones	Збір вимог	0	Протокол обстеження процесів Відділу технічного контролю.docx
1_WdMxwAVYn6vVLRNFdHX2UxQucqMsm9NbsLmJJDoXhw	22305	23	2-архів	Загальна	2024	Протокол зустрічі 09.01.24 (Концепція рішення).docx
1qPc4Ahravg1bjanpiDtuL-yeWKfpurfqSwPdJfoMhXM	22232	8	peran-food	Збір вимог	0	Протокол. Збір вимог по кухні (планування, техкарти, зони, цехи, операції).docx
12h4f39CMuzFty6M1V7sraqP1WhH7UfJ9qFqjZvAfA5A	21853	7	трител	Збір вимог	0	Протокол обстеження - Закупівлі. Прокроково процеси роботи та вимоги – Трител.docx
1y-7q3_Ox8CERuMDLy9qBmSkbnSK89qPRDpo88HEAGeA	21642	8	агро-технік	Статусна	2026	Протокол статусної зустрічі 11.05.2026.docx
1KpAeN09uiawU0uXH4L3yr21yKkzPjYQwOn5OK8mrctw	20040	9	хайтек-енергія	Збір вимог	2026	Протокол проведення інтерв'ю на тему "CRM та продажі" від 11-05-2026.docx
1XvNbZHyZ-ioWCF6JQRunWF2iOz1d8iHdH2TfxzWzR-A	19665	8	агро-технік	Статусна	2026	Протокол статусної зустрічі 01.06.2026.docx
1_pDTk0HSjVpw-T1upkwAoeTfUDrYYABmhwOAG8nxF1c	19549	7	bixter-work	Статусна	2025	Протокол статусної зустрічі 06.11.2025.docx
1pbrDEGMSwckLw68HM9QafW4KPkMGrhekfafZ6Gp-0xQ	19440	22	тов-2021-солюшинс	Інтеграції	0	Протокол обстеження Фінансовий контур 2: Інтеграція Odoo-->1C, 1C-->Odoo.docx
1b6Z3u2iKECrqWghfXnXyr8xhEoTUo3TY-8N_PirVHy4	19198	9	албіхіна-особисті-документи	Фінанси	2026	Протокол проведення інтерв'ю на тему "Фінансовий облік. Продовження 2" від 21-05-2026.docx
124e-XH845slzmZ2PxDj4hcsp0AdkISsv	19067	7	медікус	Загальна	2025	Протокол офлайн зустрічі по збору інформації бізнес-процесів 10.04.2025.docx
1Wkr2ChvsF3IHD8hEcgFEqcszuoDvoVXVkzaa2dwydYA	18765	12	wiy-drones	Збір вимог	2026	Протокол обстеження 19.05.2026.docx
1vZKBJ3K2xIiOQm1ZywlSstYjgiLgs5Cm	18635	6	lftx	Збір вимог	2025	Протокол обстеження LFTX (Виробництво 22.07.25).docx
1xedhkiV23WL7S3-_zBcOZgLPoaRPHEIX4jJTSvrUoGQ	18307	23	spacefood-ua	Збір вимог	0	Spacefood - Протокол обстеження.docx
1L9Afns9J9jVNtAVr7mvZCu8AsJJdG5ly	17995	6	lftx	Збір вимог	2025	Протокол обстеження LFTX (ОЗ, НА 06.08.25).docx
1qPwmwR44XR__mu5JsPBcLzl6lnkzo6a_qfhHAFxI9Ms	17990	6	трител	Збір вимог	0	Протокол обстеження – ToDo-Трител. Виробництво. Покроково процеси роботи та вимоги(частина 2) - Трител.docx
1kBeeO1Fig_UzzZWnofGCivGEX4lPQAZZ	17946	6	atmosfera	Загальна	2026	Протокол зустрічі 27.01.2026.docx
1tcjYO8bWAXF3ZxRa7J3LAdz_o1KHMfGO_apKNZdTOkY	17900	8	агро-технік	Статусна	2026	Протокол статусної зустрічі 21.05.2026.docx
1mcrQk3YtHcvAPWc0iNNT_lYwVAzsr6ovl5hD2wg2TXA	17868	8	rse-s-r-o-чехія	Загальна	0	Протокол. Складські процеси з комірником.docx
1ftTirmM4RVzNj1ePdH3VRpA2D_lHzoNxOfr0BdRh4NU	17715	7	yodezeen	Загальна	0	ПРОТОКОЛ зустрічі .docx
1pmSoWWp7Tq0dk_SR6XTiEJ7qzOA9LaOLJptdTUdZDDk	17539	8	rse-s-r-o-чехія	Загальна	0	Протокол. Складські процеси з комірником2.docx
1W-GNh09crbFPRfjPsy_qiHkr6PEYAFB3cKlzHHWwbus	17349	21	spacefood-ua	Збір вимог	0	Spacefood - Протокол обстеження (додаток).docx
13UKhsW-QTuNpBxENZgxycQ3pxAkD2GEpvkEkcIS6ddY	17267	6	енергобезпека-груп	Статусна	0	Протокол статусної зустрічі 11.02.docx
1PVrcoHDhO_KNup65KfOMLSgfd3Awr9_vch35AW5oaiY	17214	10	трител	Збір вимог	0	Протокол обстеження - Уточнення по протоколам складу та моделювання дрібних моментів – Трител.docx
10Su1NkLzYliRg-qFgODjsqX_YxKW608HYPpZufSTgmw	17205	8	peran-food	Демонстрація	0	Протокол. Демонстрація Солт загальна (2).docx
1XELVH3QTtXunA1nGf5SXeMIu34IaDd-T	16929	6	ярослав	Статусна	2025	Протокол статусної зустрічі 19.11.2025.docx
1tAla-MOQFboLOyqNAxMNJKSuT1bOWzjQP9MEOnccnzY	16877	22	тов-2021-солюшинс	Фінанси	0	 Протокол обстеження  фінансовий контур.docx
1ZO8BotS6Tx19NDuHxie3aevMTIyomWE1IkBu4ND7jFE	16862	5	трител	Фінанси	0	Протокол обстеження  – Моделювання процесів обліку собівартості в Odoo - Трител.docx
19iGac669Fc3LeGmUhKbb_j9is9vJwxfIW9lMRUkvuy8	16718	11	тов-2021-солюшинс	Збір вимог	0	Протокол обстеження Склади та локації 2021Солюшинс.docx
14U0J_LVe75zhDVZwwKcnG0rrLsd8yNdPZUzGk2ocLe8	16490	8	тов-2021-солюшинс	Збір вимог	0	Протокол обстеження Процес закупівель.docx
1odHK5SY0jiqiEhee-FKUM-zMC6WgbkMP	16357	6	bixter-work	Загальна	2026	Протокол зустрічі 29.01.2026.docx
1X45PmNBYyGHTGKm8KQk2bEOi3R43cKUU8VJfUz6VZdw	16342	9	2-архів	Збір вимог	0	Протокол обстеження.docx
1yzJ29j3wAAEGGbCK0OK4Fzqyqi0AYobO	16339	7	медікус	Загальна	2024	Протокол  зустрічі по збору інформації бізнес-процесів 02.10.24.docx
1GNYHAxKjdkzvwXjITw9eX7CeWxxoakz6ohnzzNHvcVo	16152	3	українські-інтелектуальні-системи-uis-_впровадження-odoo	Загальна	0	Свод протоколів зустрічей ToDo - UIS.xlsx
1o7Blyf5NbZIgVMSvrWjfz0siCacKiVA-waNzNsgJuoA	16120	6	bixter-work	Статусна	2025	Протокол статусної зустрічі 27.10.2025.docx
1U1yLF5grkvZ5qmbLHgTiEjboyEAeRJWU38VMVJU6-uo	15925	7	peran-food	Збір вимог	0	Протокол. Збір вимог з менеджером.docx
1zBT_BRTvH8FisK-6ash8g_Xpb57hctqj	15920	6	iqosa	Загальна	2025	Протокол зустрічі 19.11.2025.docx
1RuVprRO7ACvZe_YdY8tfQWkidafz3lc-	15913	6	lftx	Збір вимог	2025	Протокол обстеження LFTX (Кадри. ЗП 30.07.25).docx
1VVBhksuOCCZe6yBy6jzaGeJA4-kc0pPI7akDnVFrkL0	15710	7	тов-2021-солюшинс	Збір вимог	0	Протокол обстеження Загальний процес виробництва | 2021 СОЛЮШИНС | ToDo.docx
1wwG7SKQGfS0kXg-gU5VaxV2CjEE55isdNUaqYfCS-Yc	15642	10	тов-2021-солюшинс	Демонстрація	0	Протокол обстеження Презентація процесу виробництва виконавцем | 2021Солюшинс | ToDo.docx
1ztykSwkLCl1l-FpWMSZ2Gk2O8L2yFv1KqtEjKbmfFdM	15638	11	atmosfera	Загальна	2026	Протокол зустрічі 06.02.2026 Бонусна програма КД.docx
1IH6a6iNQwQc33QOOtMhMymc5lMbmP3pA56hphDV9fV4	15633	6	енергобезпека-груп	Загальна	0	Протокол офлайн зустрічі 25.03.docx
1n-Sqnkv5ZOn5f6IbhsjecUdvHA-mKOZe	15517	10	2-архів	Загальна	2024	Протокол_Агард_20.03.2024 (0FT007).docx
1hCnVa6du7wZ_xGSW-aBmdeuq6UV_Buyn6V5WAFHwUzA	15480	15	тов-2021-солюшинс	Збір вимог	0	Протокол обстеження Розриви функціоналу| 2021Солюшинс | ToDo.docx
1392kx3GBinN9Bg3V-RLQufXmMXR46i2x	15473	12	youcontrol	Збір вимог	2026	28-05-2026 Протокол обстеження Аналіз особливостей розрахунку зарплати.docx
1PE_dX7RWMNrF35W0ddZ8F4neNkoJtfhr	15454	3	bixter-work	Загальна	2025	Протокол зустрічі 27.11.2025 .docx
1KKaGjIxfWo9zkLBMTd4qQNNa6xG9isoI	15374	6	atmosfera	Установча	0	Протокол установчої зустрічі 17.12.docx
1zYvm6gaVmbWkOCRHKZ6NVTY5xM4Mf1cjlKOUPrAfIZk	15355	6	трител	Збір вимог	0	Протокол обстеження –  Моделювання процесів в Odoo для відділу Впровадження (CRM, Продажі та пов'язані додатки) - Трител.docx
1o4p1C_w27_fnpVYQtm5UroAIOSsYTjOsa0zGtT_lAHo	14926	6	олімпіус-консалт	Статусна	2025	Протокол Статусної зустрічі 02.07.2025.docx
1T-1butcCV_udiahKATul5Nn0TYipNSr5	14860	6	бойові-птахи-україни-тов-warbirds	Статусна	0	Протокол статусної зустрічі 11.11.docx
1IEChR0swTc8fyQzu4zrFBytDRQYSIFkEDxtIVJZXIlU	14823	7	строй-тек-фасад-майстер	Збір вимог	2025	09.05.25 Протокол (проведення інтерв'ю).docx
168duDb05W0kDZUqQEGxeyIKEZMrL0TON	14795	7	supplychains-limited	Загальна	2026	Протокол_сесія-1_2026-06-09_SUPPLYCHAINS.docx
1KehhN_ysNpigJP9AeuvmRITGKkNHyCT5omzS8xsIauY	14762	7	yodezeen	Загальна	0	Протокол зустрічі №2 17.03 <Yodezeen>.docx
17L8QnzzHi5WBb4UqHmlTP2mIEjgeCV2CE6fqITcVI9I	14725	6	трител	Фінанси	0	Протокол обстеження (проведення інтерв'ю) – Структура номенклатури, номенклатурний облік Трител.docx
1pdVTlI2t3h7uY7nT-XKf19v8hsDy7B9Jc4_Dio2NcOA	14624	8	агро-технік	Статусна	2026	Протокол статусної зустрічі 18.03.2026.docx
12FRWGlkYzPyZtF7v6z_YxO720oRiC4eh7jUhr_qf4_4	14619	7	peran-food	Збір вимог	0	Протокол. Питання по звіту про обстеження (1).docx
18ccrVmbbTUBUNOrmTh01fdntCwEyizjWgFyeOBbrf10	14469	12	2-архів	Загальна	2024	Протокол зустрічі 09.01.24.docx
17K2tuWbYnOHY78LFaeiKjT7RXbJ88H-7	14342	11	iqosa	Загальна	2026	Протокол зустрічі 27.05.2026.docx
1sY8fIBj9hSmN6YbG0ylQGHG2_vHUT4iZqP6UIwrvNng	14331	6	rse-s-r-o-чехія	Загальна	0	Протокол _Номернклатура і склади_.docx
1JXxdPWUyP1tAaa3r3WPtoUg5e5uROBx3	14216	6	bixter-work	Загальна	2026	Протокол зустрічі 27.02.2026.docx
12rrTdvWsEP3XMocAN-Z-qluJHsjcHvd-	14211	8	youcontrol	Збір вимог	2026	04-06-2026 Протокол обстеження CRM Nethunt та 1С: бізнес-процеси та аналітика доходів.docx
1fmePekhDFc00pq8BR0X6ILFLEtSRMIPCwos60oSsssM	14198	7	2-архів	Загальна	2024	Протокол 07.11.2024.docx
1Mx-4vclWBdbV6eR04pgN5mrHPF2MQ7EY	14116	9	eurozamok	Загальна	2024	Протокол зустрічі по збору інформації бізнес-процесів 27.09.2024.docx
1qqk-yTFIs1n-3Fg2AB2dpe3eQBXIyqJXmOXVczYYADs	14081	7	peran-food	Демонстрація	0	Протокол. Демонстрація Солт загальна (1).docx
15tXw2D7UPnnuoqihcR096ugZSjvOqq0g61SoTQJy7iM	13964	7	rse-s-r-o-чехія	Загальна	0	Протокол Закупівлі: бізнес-процес відділу забезпечення.docx
13keJVQYTdRoHWZwIQKyjv3Z8J2_KoiyS	13856	6	бойові-птахи-україни-тов-warbirds	Загальна	0	Протокол зустрічі 21.11.docx
1JfX4lPlgO_hI8GRLF5G2xONdIgHriDskTjf0-zIkV6U	13806	9	тов-2021-солюшинс	Збір вимог	0	Протокол обстеження категорій товарів, номенклатури та її імпорту.docx
1uz-cTZ3mnfXmMa1umwfIGsxeeDmq5-iK	13767	6	bixter-work	Загальна	2026	Протокол зустрічі 07.01.2026.docx
1n08XwBMCFrVA-XqOqijvH2Kte-mXHs1z	13731	7	atmosfera	Загальна	2026	Протокол зустрічі 23.01.2026.docx
1SyB0rR5_neveeGMGtqCXuQiU59YgumqmAjkmEj8yZBU	13700	17	тов-2021-солюшинс	Збір вимог	0	Протокол обстеження Загальний процес перевірки якості.docx
1V6cSctJwWnuMPL2jEcEP1D7ap081eFRkyvVp3QcfRls	13686	6	rse-s-r-o-чехія	Загальна	0	Протокол _Оргструктура_.docx
1g2aMnGU2vm2z5YOWVHfMsM52UafxOSfZd2z7hDscC2s	13591	9	rse-s-r-o-чехія	Загальна	0	Протокол Виробництво: специфікації і операції.docx
16lhdyjAgbxkJbqk4Jrj_3cwFGV8Y289i	13341	8	bixter-work	Статусна	2026	Протокол статусної зустрічі 12.05.2026.docx
10_mMFKB5oowSnL6EkZ-OtBtRE-mW_91B2Q0RVvcgeDs	13233	7	elko-group	Установча	0	Протокол. Установча зустріч.docx
1UIdjeOuj4iBseJYxCgkC-ioFMPVGDc3U	13205	10	ярослав	Статусна	2026	Протокол статусної зустрічі 10.06.2026.docx
1PiO6f3oGO4plsmQYgPpDdE3i-v63f6jRZq57lYpPkvo	13200	7	peran-food	Загальна	0	Протокол. Знижки.docx
1ByGC18Be2kPA2xUnZJYSzySSKvRYkSYE9yKeqBy9fSY	13127	7	peran-food	Загальна	0	Протокол. Звітність.docx
1KsiqLk22P5dm2AoNMJtOI0gC-YCOZ9F1EC4f4XM1xu0	12955	5	трител	Збір вимог	0	Протокол обстеження - Моделювання процесів управління R&D на Odoo(Відділ розробки) – Трител.docx
1Ym1NbcKHMW7AIcMC429O7SDm7Kig-JywXy3aaYHnse8	12944	6	peran-food	Збір вимог	0	Протокол. Збір вимог по кухні (інвентаризація, закупівлі).docx
14PjITXIBJyrRrUJqS3ykE2IBxhep5kd9v-Sxi474_YU	12912	6	строй-тек-фасад-майстер	Загальна	2025	16.05.2025. Протокол .docx
1jSM4ZuIF97v-u3L1EAWmnkdNRM0C8f0i	12783	5	atmosfera	Загальна	2026	Протокол зустрічі 13.01.2026.docx
1ZYC8wLnjW7c_BsUhZ45eMSHKau8z-9SfXCSxaxnBjqw	12742	9	ярослав	Статусна	0	ПП "Ярослав" Протокол Статусної зустрічі.docx
1W2YbOt0uzE0Gl5t6WDuiSJKGzb__zVBLuw9PCRFvN-E	12727	7	peran-food	Загальна	0	Протокол. Юридично-організаційна структура.docx
17WMJ8v3C_tdYRizmVKK5uCLllBqSxrUK52pbtPjCYP0	12717	7	rse-s-r-o-чехія	Навчання	0	Протокол Навчання Продажі & Проєкти.docx
17achQKwmHCmVNYjopqW6XasMIppQcJnXAbZ1HiuyrEI	12683	5	трител	Загальна	0	Протокол зустрічі - Моделювання процесів: Закупівлі в Odoo ч.№2 – Трител.docx
1NMVVn8QO3M6IdEKmNw7xMJMlz8-EMOo5	12665	5	atmosfera	Загальна	2026	Протокол зустрічі 30.01.2026.docx
1RcoFSCciPvk9hFMypeTKcKWU9Q6RPfpWlNmp9Bk5oH4	12477	7	ets-group	Збір вимог	0	Протокол обстеження – Інтерв'ю. Поверхневий аналіз процесів і вимог європейського напрямку.docx
1vU3Bgtfn8J_gP0ShwXRkOKySSgtHGPtZ	12457	6	eurozamok	Загальна	2024	 Протокол зустрічі по збору інформації бізнес-процесів 17.09.24.docx
1QcMJRA9RrOEbX5cRoatJQ1ul5iVweOtQ	12429	5	atmosfera	Загальна	2026	Протокол зустрічі 22.01.2026.docx
1RRZsPaNNLEcnrJODjEi7Lvwgn-FU-WPK	12407	5	atmosfera	Загальна	2026	Протокол зустрічі 26.01.2026.docx
107asoEkJe35Kzj0R5errgPn3GnzycxdLERxiWxo_rH8	12396	6	бріолекс	Збір вимог	0	Протокол обстеження (проведення інтерв'ю) - 23.09.docx
1o4oqgvolK_VJ6ZiOlpW0OGeoo3AMKNRd	12379	10	ярослав	Загальна	2026	Протокол зустрічі 02.06.2026.docx
1rJhZmXtxNq5Zdks7zwThJpGVYPnoWAOxt5B1oJxZ0as	12299	7	rse-s-r-o-чехія	Демонстрація	0	Протокол Демонстрація процесу.docx
1rd5EmrmuFTp6YlAK5ZGkDrFKNFAd-Ch5	12271	5	atmosfera	Загальна	2026	Протокол зустрічі 02.02.2026.docx
1E4phxH5UHN5i6uOc5ASQ7hS-fz7t04884yM2Z17d9gM	12188	7	rse-s-r-o-чехія	Загальна	0	Протокол Продажі.docx
1GoRAPsqofH0BmUSyIB6HalRryiaCg5LSmHtQisVQJXY	12182	6	yodezeen	Загальна	0	ПРОТОКОЛ зустрічі.docx
18uK9oSruJyl_y948KaQ_mJ_bELBxnECe	12171	6	bixter-work	Загальна	2026	Протокол зустрічі 15.05.2026.docx
1AQg_begTgDEv1z7OsMJK3Y7848VhKy28Zoy0Xp_GFmI	12170	5	universalna	Збір вимог	2024	Протокол обстеження 25.09.2024.docx
1yKhIW8QnwKKZDp1w7pznndL94d9LJInrItAZSUTpWbE	12162	9	wiy-drones	Загальна	2026	Протокол зустрічі по хостингу 29.05.2026.docx
1SIxzJFd4Xk4ioXw0YQmRAQboMXif7inbky4khvmudOQ	12116	8	wiy-drones	Збір вимог	2026	Протокол обстеження Складські процеси 24-04-2026.docx
1Wiqvrnl8IzmaCGA2aTgBetVdjlnK9ccJ	12027	5	lftx	Збір вимог	2025	Протокол обстеження LFTX (Взаєморозрахунки 24.07.25).docx
11TUDzS1nT5iSow0eQfU5Oj_AAwfnZ95mX5dfLKng9hM	12019	7	elko-group	Загальна	0	Протокол. Процес вивантаження асортименту.docx
1YImsGiw3tSB4eQTAcUbPWWoJwQqrxJei	12011	5	bixter-work	Загальна	2026	Протокол зустрічі 24.03.2026.docx
1l0807VU-83X-AjfFP9I7_rU5vtxVRFn2Xv6K_nptEKU	11997	7	peran-food	Загальна	0	Протокол. Розсилки.docx
1BzoOjdD-z4ieOf3WekPjgcItNzU-5vPM	11975	6	eurozamok	Загальна	2024	Протокол  зустрічі по збору інформації бізнес-процесів 23.09.24 .docx
1z0MVfkaQanLoYR6UTjJRRvLJUNen0nq948rRKh_Wl3E	11916	5	енергобезпека-груп	Загальна	0	Протокол офлайн зустрічі 21.04.docx
1pm4qsAvuiiTj05V_Xegb7C5mJ9hRE8cg	11909	5	atmosfera	Загальна	2026	Протокол зустрічі 03.02.2026.docx
1EBVzAa5tKVA5XwNgqT9OqeWiJL7Sa97O	11876	7	bixter-work	Загальна	2026	Протокол зустрічі 03.06.2026.docx
1wnDJbbIBjz1DAZiu7gxBOb8xmvbOKVkT	11847	5	atmosfera	Загальна	2026	Протокол зустрічі 27.01.2026.docx
1_lwrblQyYeGBkGDWsOztRXCjF4NNhGCT	11846	12	bixter-work	Загальна	2026	Протокол зустрічі 28.05.2026.docx
1hiJrB4s-h8udB_Teo_vaNRb2x3wZin8KsSQThhVr44w	11797	7	ярослав	Фінанси	0	ПП "Ярослав" Протокол зустрічі. Структура підприємства та напрямки діяльності. Цілі проєкту. Вимоги до системи складського обліку.docx
1U1IF-E0XQGhOxtyvf0lPo8nLSKmlAzUNTAMGpKraBds	11796	5	alex-villas	Статусна	2025	Протокол статусної зустрічі 19.06.2025.docx
1JIBcNg-vPku84i-bNIvyRBKoQ-63Zkyo	11796	5	atmosfera	Статусна	2026	Протокол статусної зустрічі 28.01.2026.docx
17XdNMS7TrkbYKPgnh8Vl4yXXIBO24p9yAP6veuQK3n8	11758	7	rse-s-r-o-чехія	Навчання	0	Протокол Навчання CRM & Продажі.docx
1xYZm9V-YoJMb6z-Qr6NVQrDWagap2XiE	11754	7	bixter-work	Загальна	2026	Протокол зустрічі 18.05.2026.docx
1egBRmghx7NTfBEPXQ5t2GGi_pi537UWg	11753	6	2-архів	Збір вимог	0	Протокол обстеження (проведення інтерв'ю) UTTC 3.Процес продажів.docx
1fIRXbYjXMgZdMJfSNKl29sDdvjxElDi7FzdX_sMKFsc	11724	5	yodezeen	Загальна	0	Протокол зустрічі 26.03.docx
1i38Vot-F3aGyWV54g3SriTq1NaYBWRCgJOatV5KZnOs	11719	7	rse-s-r-o-чехія	Загальна	0	Протокол. Контроль якості, субпідряд. Купівля ліцензій.docx
1X70YQFj_kl97UcFBSVt2LNB61E_6yR2b-7ZIzSXeEJc	11711	7	rse-s-r-o-чехія	Загальна	0	Протокол. Складські маршрути.docx
1xxEII8ONtfmPx8bIUly-KpEKPURi-IDWj2dpwzNje-c	11674	10	rse-s-r-o-чехія	Загальна	0	Протокол юридична організаційна структура, основні бізнес процеси.docx
1LsvPiKqV7c5PNYqb_l-VIWtI0qyD-HlFNFpJPYf1J0c	11570	7	elko-group	Загальна	0	Протокол. Зустріч по дизайну.docx
1ScsPNCiDiRgwX7mjDKXCvfWe_sV-fVCv0OppgdmwkOE	11564	7	rse-s-r-o-чехія	Загальна	0	Протокол. Контроль якості.docx
1XjyN6rTkrQOWxmEAzOzQ4VGZIpT7qsud	11499	5	бойові-птахи-україни-тов-warbirds	Статусна	0	Протокол статусної зустрічі 23.12..docx
1C95hjA31YeUDJpUOloAITrhxMI-Y1iVN2a7XrPozlqQ	11461	5	трител	Збір вимог	0	Протокол обстеження – Моделювання процесів: Закупівлі в Odoo(Закупівлі та пов'язані додатки) - Трител.docx
1WeQnVa4FZavwRGfkuv6SIFy6JfhnI6FN	11456	7	ярослав	Статусна	2026	Протокол статусної зустрічі 06.05.2026.docx
1xQse5Vck4QwweMs61nGIc0WsU1Z-fZtsCghri0UtC20	11448	6	yodezeen	Збір вимог	0	ПРОТОКОЛ ОБСТЕЖЕННЯ (ПРОВЕДЕННЯ ІНТЕРВ’Ю) <Yodezeen>.docx
1yPoqkGOMJ0Qdnb7jpBRArTsYt9Lh3v4s	11389	7	bixter-work	Загальна	2026	Протокол зустрічі 19.03.2026.docx
1M3f69gYCSKFDUrRWoXuVDQV6d-2T7K_4Yrxz2RzwSAQ	11383	6	peran-food	Демонстрація	0	Протокол. Демонстрація Солт загальна (3).docx
1IX1WaMtsUZSMghZ5PoQqgBfKHXdyjCaQBFCNSOQPlW4	11380	4	elko-group	Статусна	0	Протокол. Статусна зустріч.docx
