id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_td_bi_dashboard_state_group_bi_admin,td.bi.dashboard.state group_bi_admin,model_td_bi_dashboard_state,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_dashboard_version_group_bi_user,td.bi.dashboard.version group_bi_user,model_td_bi_dashboard_version,td_bi_dashboard.group_bi_user,1,0,0,0
access_td_bi_dashboard_version_group_bi_designer,td.bi.dashboard.version group_bi_designer,model_td_bi_dashboard_version,td_bi_dashboard.group_bi_designer,1,1,1,1
access_td_bi_dashboard_version_group_bi_admin,td.bi.dashboard.version group_bi_admin,model_td_bi_dashboard_version,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_dashboard_tag_group_bi_user,td.bi.dashboard.tag group_bi_user,model_td_bi_dashboard_tag,td_bi_dashboard.group_bi_user,1,0,0,0
access_td_bi_dashboard_tag_group_bi_designer,td.bi.dashboard.tag group_bi_designer,model_td_bi_dashboard_tag,td_bi_dashboard.group_bi_designer,1,1,1,1
access_td_bi_dashboard_tag_group_bi_admin,td.bi.dashboard.tag group_bi_admin,model_td_bi_dashboard_tag,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_dashboard_group_group_bi_user,td.bi.dashboard.group group_bi_user,model_td_bi_dashboard_group,td_bi_dashboard.group_bi_user,1,0,0,0
access_td_bi_dashboard_group_group_bi_designer,td.bi.dashboard.group group_bi_designer,model_td_bi_dashboard_group,td_bi_dashboard.group_bi_designer,1,1,1,1
access_td_bi_dashboard_group_group_bi_admin,td.bi.dashboard.group group_bi_admin,model_td_bi_dashboard_group,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_dashboard_share_group_bi_user,td.bi.dashboard.share group_bi_user,model_td_bi_dashboard_share,td_bi_dashboard.group_bi_user,0,0,0,0
access_td_bi_dashboard_share_group_bi_designer,td.bi.dashboard.share group_bi_designer,model_td_bi_dashboard_share,td_bi_dashboard.group_bi_designer,1,0,0,0
access_td_bi_dashboard_share_group_bi_admin,td.bi.dashboard.share group_bi_admin,model_td_bi_dashboard_share,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_subscription_group_bi_user,td.bi.subscription group_bi_user,model_td_bi_subscription,td_bi_dashboard.group_bi_user,1,1,1,1
access_td_bi_subscription_group_bi_designer,td.bi.subscription group_bi_designer,model_td_bi_subscription,td_bi_dashboard.group_bi_designer,1,1,1,1
access_td_bi_subscription_group_bi_admin,td.bi.subscription group_bi_admin,model_td_bi_subscription,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_alert_group_bi_user,td.bi.alert group_bi_user,model_td_bi_alert,td_bi_dashboard.group_bi_user,1,1,1,1
access_td_bi_alert_group_bi_designer,td.bi.alert group_bi_designer,model_td_bi_alert,td_bi_dashboard.group_bi_designer,1,1,1,1
access_td_bi_alert_group_bi_admin,td.bi.alert group_bi_admin,model_td_bi_alert,td_bi_dashboard.group_bi_admin,1,1,1,1
access_td_bi_alert_log_group_bi_user,td.bi.alert.log group_bi_user,model_td_bi_alert_log,td_bi_dashboard.group_bi_user,1,0,0,0
access_td_bi_alert_log_group_bi_designer,td.bi.alert.log group_bi_designer,model_td_bi_alert_log,td_bi_dashboard.group_bi_designer,1,0,0,0
access_td_bi_alert_log_group_bi_admin,td.bi.alert.log group_bi_admin,model_td_bi_alert_log,td_bi_dashboard.group_bi_admin,1,0,0,0
access_td_bi_cache_group_bi_user,td.bi.cache group_bi_user,model_td_bi_cache,td_bi_dashboard.group_bi_user,0,0,0,0
access_td_bi_cache_group_bi_designer,td.bi.cache group_bi_designer,model_td_bi_cache,td_bi_dashboard.group_bi_designer,0,0,0,0
access_td_bi_cache_group_bi_admin,td.bi.cache group_bi_admin,model_td_bi_cache,td_bi_dashboard.group_bi_admin,1,0,0,0
access_td_bi_audit_log_group_bi_user,td.bi.audit.log group_bi_user,model_td_bi_audit_log,td_bi_dashboard.group_bi_user,0,0,0,0
access_td_bi_audit_log_group_bi_designer,td.bi.audit.log group_bi_designer,model_td_bi_audit_log,td_bi_dashboard.group_bi_designer,0,0,0,0
access_td_bi_audit_log_group_bi_admin,td.bi.audit.log group_bi_admin,model_td_bi_audit_log,td_bi_dashboard.group_bi_admin,1,0,0,0
access_td_bi_materialization_group_bi_user,td.bi.materialization group_bi_user,model_td_bi_materialization,td_bi_dashboard.group_bi_user,0,0,0,0
access_td_bi_materialization_group_bi_designer,td.bi.materialization group_bi_designer,model_td_bi_materialization,td_bi_dashboard.group_bi_designer,0,0,0,0
access_td_bi_materialization_group_bi_admin,td.bi.materialization group_bi_admin,model_td_bi_materialization,td_bi_dashboard.group_bi_admin,1,1,1,1
